Accepted_Annotations,Annotation_Count,Annotation_Is_Verified,Classification,Comment_Count,Featured_Video,Followers,Genius_IQ,Hot,Is_Description,Is_Verified,Length_Referent_Text,Meme_Verified,Number_Contributors,Number_Verified_Annotations,Page_Views,Pinned,Pyong_Count,Release_Date,Total_Votes,Class,Total_Votes_log
66,67,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,51,TRUE,117,0,275989,FALSE,163,1434,3,low,0.477121255
44,46,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,37,TRUE,76,0,158330,FALSE,11,1986,3,low,0.477121255
40,46,FALSE,accepted,0,TRUE,8610,?,FALSE,FALSE,FALSE,25,FALSE,335,0,3428303,FALSE,174,2082,36,high,1.556302501
30,32,FALSE,accepted,1,TRUE,693,?,FALSE,FALSE,FALSE,75,FALSE,70,0,233864,FALSE,72,6277,4,low,0.602059991
40,42,FALSE,accepted,1,TRUE,17568,144243,FALSE,FALSE,TRUE,124,TRUE,243,0,1365257,FALSE,610,1565,44,high,1.643452676
33,36,TRUE,verified,0,TRUE,8610,?,FALSE,FALSE,FALSE,64,FALSE,335,2,5070070,TRUE,372,2441,137,high,2.136720567
14,23,FALSE,accepted,0,FALSE,419,?,FALSE,FALSE,FALSE,7,FALSE,34,0,27247,FALSE,6,9854,3,low,0.477121255
42,43,FALSE,accepted,0,FALSE,10964,?,FALSE,FALSE,FALSE,31,FALSE,195,0,3081814,FALSE,165,2378,13,high,1.113943352
62,69,FALSE,accepted,0,TRUE,8610,?,FALSE,FALSE,FALSE,46,FALSE,372,6,6159849,FALSE,319,2238,15,high,1.176091259
47,51,TRUE,verified,18,TRUE,10964,?,FALSE,FALSE,FALSE,71,FALSE,346,3,3910160,TRUE,380,2036,516,high,2.712649702
39,49,FALSE,unreviewed,0,FALSE,419,?,FALSE,FALSE,FALSE,86,FALSE,193,0,1708934,FALSE,146,10876,0,low,0
55,66,FALSE,accepted,0,FALSE,419,?,FALSE,FALSE,FALSE,41,FALSE,50,0,49068,FALSE,6,10877,2,low,0.301029996
57,58,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,100,TRUE,157,0,183015,FALSE,19,611,4,low,0.602059991
6,12,FALSE,unreviewed,1,FALSE,598,?,FALSE,FALSE,FALSE,77,FALSE,58,0,200216,FALSE,107,7320,3,low,0.477121255
55,56,FALSE,accepted,0,FALSE,2660,?,FALSE,FALSE,FALSE,109,FALSE,370,0,1318014,FALSE,525,1162,25,high,1.397940009
38,39,FALSE,accepted,0,FALSE,21495,34478,FALSE,FALSE,TRUE,61,TRUE,262,0,1497028,FALSE,996,1175,41,high,1.612783857
36,40,TRUE,verified,20,TRUE,21495,34478,FALSE,FALSE,TRUE,82,TRUE,363,3,4131701,TRUE,623,2036,504,high,2.702430536
39,40,FALSE,accepted,0,TRUE,693,?,FALSE,FALSE,FALSE,72,FALSE,83,0,173703,FALSE,34,7985,5,low,0.698970004
15,18,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,37,FALSE,39,0,75496,FALSE,17,5353,2,low,0.301029996
0,7,FALSE,unreviewed,0,FALSE,38,?,FALSE,FALSE,FALSE,22,FALSE,9,0,5594,FALSE,3,754,0,low,0
27,29,FALSE,accepted,0,FALSE,2660,?,FALSE,FALSE,FALSE,18,FALSE,142,0,589526,FALSE,94,8179,28,high,1.447158031
45,46,FALSE,accepted,0,TRUE,10964,?,FALSE,FALSE,FALSE,134,FALSE,191,0,2798227,FALSE,1397,1207,14,high,1.146128036
10,16,FALSE,unreviewed,0,TRUE,2660,?,FALSE,FALSE,FALSE,80,FALSE,75,0,310739,FALSE,40,9110,1,low,0
37,38,FALSE,accepted,0,TRUE,8610,?,FALSE,FALSE,FALSE,47,FALSE,200,0,3050327,FALSE,2699,1346,10,low,1
53,54,FALSE,accepted,0,FALSE,8610,?,FALSE,FALSE,FALSE,192,FALSE,315,0,1536371,FALSE,192,853,65,high,1.812913357
19,21,FALSE,accepted,1,FALSE,2503,1124,FALSE,FALSE,TRUE,100,TRUE,63,0,199159,FALSE,9,4870,1,low,0
22,23,FALSE,accepted,0,FALSE,8610,?,FALSE,FALSE,FALSE,144,FALSE,127,0,1558247,FALSE,50,826,68,high,1.832508913
29,30,FALSE,accepted,1,FALSE,21495,34478,FALSE,FALSE,TRUE,65,TRUE,356,0,4016170,FALSE,162,401,18,high,1.255272505
11,12,FALSE,accepted,0,FALSE,8610,?,FALSE,FALSE,FALSE,31,FALSE,119,0,1381659,FALSE,86,826,48,high,1.681241237
19,23,FALSE,accepted,0,FALSE,598,?,FALSE,FALSE,FALSE,22,FALSE,47,0,78612,FALSE,9,7132,1,low,0
51,52,FALSE,accepted,2,TRUE,21495,34478,FALSE,FALSE,TRUE,169,TRUE,360,0,2016243,FALSE,1267,1162,69,high,1.838849091
30,38,FALSE,accepted,0,FALSE,419,?,FALSE,FALSE,FALSE,34,FALSE,51,0,42338,FALSE,8,10601,3,low,0.477121255
18,19,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,58,TRUE,827,0,9407569,FALSE,949,416,107,high,2.029383778
42,43,FALSE,accepted,0,FALSE,10964,?,FALSE,FALSE,FALSE,49,FALSE,195,0,3081814,FALSE,165,2378,8,low,0.903089987
31,32,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,6,FALSE,121,0,751230,FALSE,95,6438,12,high,1.079181246
28,29,FALSE,accepted,1,TRUE,21495,34478,FALSE,FALSE,TRUE,22,TRUE,198,0,1921896,FALSE,426,2514,21,high,1.322219295
25,27,FALSE,accepted,0,TRUE,10964,?,FALSE,FALSE,FALSE,28,FALSE,153,0,2542718,FALSE,168,2217,8,low,0.903089987
22,24,FALSE,accepted,0,FALSE,21495,34478,FALSE,FALSE,TRUE,82,TRUE,366,1,2267806,FALSE,211,401,89,high,1.949390007
39,44,FALSE,accepted,1,FALSE,2503,1124,FALSE,FALSE,TRUE,28,TRUE,54,0,150795,FALSE,8,1986,-1,low,0
18,19,FALSE,accepted,0,FALSE,8610,?,FALSE,FALSE,FALSE,170,FALSE,156,0,1385859,FALSE,89,826,43,high,1.633468456
65,67,FALSE,accepted,1,FALSE,8610,?,FALSE,FALSE,FALSE,22,FALSE,362,0,2968632,FALSE,314,2766,274,high,2.437750563
22,41,FALSE,unreviewed,0,FALSE,419,?,FALSE,FALSE,FALSE,30,FALSE,30,0,29649,FALSE,3,10877,2,low,0.301029996
19,22,FALSE,accepted,0,FALSE,2660,?,FALSE,FALSE,FALSE,56,FALSE,111,0,383454,FALSE,65,7917,9,low,0.954242509
25,27,FALSE,accepted,1,FALSE,8610,?,FALSE,FALSE,FALSE,121,FALSE,237,1,2391365,FALSE,254,1797,21,high,1.322219295
27,32,FALSE,unreviewed,0,TRUE,419,?,FALSE,FALSE,FALSE,147,FALSE,24,0,29132,FALSE,2,10218,0,low,0
12,15,FALSE,accepted,3,FALSE,2660,?,FALSE,FALSE,FALSE,80,FALSE,72,0,290854,FALSE,74,4863,42,high,1.62324929
28,29,FALSE,accepted,0,FALSE,10964,?,FALSE,FALSE,FALSE,70,FALSE,220,0,2943027,FALSE,172,973,5,low,0.698970004
66,69,FALSE,accepted,0,FALSE,10964,?,FALSE,FALSE,FALSE,73,FALSE,306,2,2875478,FALSE,342,1699,27,high,1.431363764
134,137,TRUE,verified,21,FALSE,21495,34478,FALSE,FALSE,TRUE,62,TRUE,714,2,4168155,TRUE,573,1742,559,high,2.747411808
38,40,FALSE,accepted,0,FALSE,21495,34478,FALSE,FALSE,TRUE,80,TRUE,546,1,2377865,FALSE,1535,1196,169,high,2.227886705
26,31,FALSE,accepted,0,TRUE,598,?,FALSE,FALSE,FALSE,110,FALSE,78,0,214830,FALSE,87,6557,3,low,0.477121255
38,40,FALSE,accepted,4,FALSE,21495,34478,FALSE,FALSE,TRUE,147,TRUE,546,1,2377865,FALSE,1535,1196,100,high,2
11,14,FALSE,accepted,0,FALSE,419,?,FALSE,FALSE,FALSE,118,FALSE,31,0,32188,FALSE,?,9854,10,low,1
24,33,FALSE,unreviewed,0,FALSE,419,?,FALSE,FALSE,FALSE,143,FALSE,22,0,40285,FALSE,2,9854,2,low,0.301029996
11,12,FALSE,accepted,1,FALSE,8610,?,FALSE,FALSE,FALSE,96,FALSE,119,0,1381659,FALSE,86,826,90,high,1.954242509
42,48,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,44,TRUE,104,0,315757,FALSE,44,?,2,low,0.301029996
103,107,FALSE,accepted,0,FALSE,21495,34478,FALSE,FALSE,TRUE,29,TRUE,399,3,1792776,FALSE,310,1951,33,high,1.51851394
17,18,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,50,TRUE,59,0,211688,FALSE,13,1986,0,low,0
25,27,FALSE,accepted,1,FALSE,8610,?,FALSE,FALSE,FALSE,27,FALSE,237,1,2391365,FALSE,254,1797,47,high,1.672097858
7,18,FALSE,unreviewed,0,FALSE,419,?,FALSE,FALSE,FALSE,67,FALSE,25,0,30890,FALSE,4,9854,5,low,0.698970004
25,26,FALSE,accepted,0,FALSE,598,?,FALSE,FALSE,FALSE,222,FALSE,273,0,1657441,FALSE,82,751,70,high,1.84509804
20,29,FALSE,accepted,0,FALSE,419,?,FALSE,FALSE,FALSE,34,FALSE,66,0,55588,FALSE,3,9854,6,low,0.77815125
35,42,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,51,FALSE,48,0,37416,FALSE,56,7306,0,low,0
25,26,FALSE,accepted,0,FALSE,8610,?,FALSE,FALSE,FALSE,107,FALSE,273,0,1657441,FALSE,82,751,49,high,1.69019608
0,9,FALSE,unreviewed,0,FALSE,38,?,FALSE,FALSE,FALSE,41,FALSE,4,0,?,FALSE,3,1308,0,low,0
13,15,FALSE,unreviewed,3,FALSE,598,?,FALSE,FALSE,FALSE,162,FALSE,66,0,311514,FALSE,89,5599,3,low,0.477121255
29,38,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,42,FALSE,84,0,332843,FALSE,96,5360,1,low,0
34,36,FALSE,accepted,0,TRUE,2503,1124,FALSE,FALSE,TRUE,35,TRUE,100,0,541196,FALSE,28,2086,9,low,0.954242509
30,31,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,41,TRUE,125,0,579775,FALSE,56,947,17,high,1.230448921
29,38,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,42,FALSE,84,0,332843,FALSE,96,5360,1,low,0
15,18,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,7,FALSE,39,0,75496,FALSE,17,5353,2,low,0.301029996
42,49,FALSE,accepted,1,TRUE,17568,144243,FALSE,FALSE,TRUE,38,TRUE,267,6,961072,FALSE,981,1364,82,high,1.913813852
55,62,FALSE,unreviewed,0,TRUE,8610,?,FALSE,FALSE,FALSE,23,FALSE,226,4,1891346,FALSE,94,2074,1,low,0
0,20,FALSE,unreviewed,0,FALSE,38,?,FALSE,FALSE,FALSE,33,FALSE,5,0,?,FALSE,?,1160,0,low,0
16,17,FALSE,accepted,1,FALSE,2503,1124,FALSE,FALSE,TRUE,31,TRUE,79,0,590497,FALSE,90,1905,11,high,1.041392685
37,38,FALSE,accepted,0,TRUE,8610,?,FALSE,FALSE,FALSE,59,FALSE,200,0,3050327,FALSE,2699,1346,9,low,0.954242509
47,51,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,182,TRUE,346,3,3910160,FALSE,380,2036,3,low,0.477121255
40,46,FALSE,accepted,0,TRUE,8610,?,FALSE,FALSE,FALSE,18,FALSE,335,0,3428303,FALSE,174,2082,18,high,1.255272505
9,16,FALSE,accepted,0,FALSE,598,?,FALSE,FALSE,FALSE,42,FALSE,28,0,33035,FALSE,77,7404,3,low,0.477121255
46,49,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,6,TRUE,375,2,5236229,FALSE,872,2119,26,high,1.414973348
21,24,TRUE,verified,0,TRUE,8610,?,FALSE,FALSE,FALSE,136,FALSE,257,2,1441789,TRUE,313,2779,116,high,2.064457989
55,66,FALSE,accepted,0,FALSE,419,?,FALSE,FALSE,FALSE,35,FALSE,50,0,49068,FALSE,6,10877,2,low,0.301029996
106,107,FALSE,accepted,0,FALSE,17568,144243,FALSE,FALSE,TRUE,60,TRUE,536,0,1719362,FALSE,521,1657,23,high,1.361727836
30,38,FALSE,accepted,0,FALSE,419,?,FALSE,FALSE,FALSE,142,FALSE,51,0,42338,FALSE,8,10601,4,low,0.602059991
31,34,FALSE,accepted,0,TRUE,17568,144243,FALSE,FALSE,TRUE,65,TRUE,212,2,848363,FALSE,144,7055,5,low,0.698970004
17,18,FALSE,accepted,4,TRUE,2503,1124,FALSE,FALSE,TRUE,92,TRUE,118,0,802089,FALSE,611,1460,30,high,1.477121255
18,19,FALSE,accepted,0,FALSE,10964,?,FALSE,FALSE,FALSE,78,FALSE,152,0,2401685,FALSE,59,751,24,high,1.380211242
65,67,FALSE,accepted,0,FALSE,8610,?,FALSE,FALSE,FALSE,29,FALSE,362,0,2968632,FALSE,314,2766,25,high,1.397940009
18,19,FALSE,accepted,2,FALSE,10964,?,FALSE,FALSE,FALSE,104,FALSE,152,0,2401685,FALSE,59,751,26,high,1.414973348
12,13,FALSE,accepted,0,FALSE,17568,144243,FALSE,FALSE,TRUE,276,TRUE,229,0,2590584,FALSE,402,156,248,high,2.394451681
20,31,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,35,FALSE,65,0,167114,FALSE,92,7114,0,low,0
37,42,TRUE,verified,22,TRUE,17568,144243,FALSE,FALSE,TRUE,7,TRUE,399,4,3060005,TRUE,1027,5683,1041,high,3.01745073
40,42,FALSE,accepted,0,TRUE,17568,144243,FALSE,FALSE,TRUE,41,TRUE,243,0,1365257,FALSE,610,1565,10,low,1
19,21,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,7,TRUE,63,0,199159,FALSE,9,4870,20,high,1.301029996
11,12,FALSE,accepted,1,FALSE,8610,?,FALSE,FALSE,FALSE,278,FALSE,216,0,3708670,FALSE,204,826,304,high,2.482873584
10,18,FALSE,unreviewed,0,FALSE,2660,?,FALSE,FALSE,FALSE,135,FALSE,69,0,265651,FALSE,35,7481,0,low,0
53,54,FALSE,accepted,0,FALSE,8610,?,FALSE,FALSE,FALSE,111,FALSE,315,0,1536371,FALSE,192,853,94,high,1.973127854
35,39,TRUE,verified,0,TRUE,8610,?,FALSE,FALSE,FALSE,176,FALSE,277,3,3184871,TRUE,369,1797,132,high,2.120573931
39,42,FALSE,accepted,2,TRUE,10964,?,FALSE,FALSE,FALSE,9,FALSE,393,2,7086094,FALSE,669,2034,61,high,1.785329835
66,67,FALSE,accepted,1,FALSE,2503,1124,FALSE,FALSE,TRUE,279,TRUE,117,0,275989,FALSE,163,1434,8,low,0.903089987
29,30,FALSE,accepted,0,TRUE,2503,1124,FALSE,FALSE,TRUE,35,TRUE,110,0,505744,FALSE,68,4860,9,low,0.954242509
35,39,FALSE,accepted,1,TRUE,8610,?,FALSE,FALSE,FALSE,7,FALSE,277,3,3184871,FALSE,369,1797,7,low,0.84509804
27,28,FALSE,accepted,0,TRUE,10964,?,FALSE,FALSE,FALSE,25,FALSE,196,0,3183017,FALSE,226,1929,24,high,1.380211242
9,23,FALSE,unreviewed,0,FALSE,419,?,FALSE,FALSE,FALSE,78,FALSE,47,0,68548,FALSE,16,9854,4,low,0.602059991
118,122,FALSE,accepted,1,TRUE,17568,144243,FALSE,FALSE,TRUE,6,TRUE,1380,3,12190302,FALSE,5604,1678,123,high,2.089905111
32,42,TRUE,verified,12,TRUE,8610,?,FALSE,FALSE,FALSE,67,FALSE,515,9,5296468,TRUE,341,887,105,high,2.021189299
17,18,FALSE,accepted,0,TRUE,2503,1124,FALSE,FALSE,TRUE,23,TRUE,118,0,802089,FALSE,611,1460,36,high,1.556302501
10,11,FALSE,accepted,2,TRUE,10964,?,FALSE,FALSE,FALSE,120,FALSE,237,0,5521909,FALSE,201,775,84,high,1.924279286
36,38,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,19,FALSE,95,0,234938,FALSE,47,6452,41,high,1.612783857
48,51,FALSE,accepted,2,TRUE,17568,144243,FALSE,FALSE,TRUE,22,TRUE,292,2,1384638,FALSE,302,6578,41,high,1.612783857
20,29,FALSE,unreviewed,0,FALSE,419,?,FALSE,FALSE,FALSE,30,FALSE,66,0,55588,FALSE,3,9854,4,low,0.602059991
0,5,FALSE,unreviewed,0,FALSE,38,?,FALSE,FALSE,FALSE,39,FALSE,3,0,6552,FALSE,12,1746,0,low,0
9,10,FALSE,accepted,0,TRUE,10964,?,FALSE,FALSE,FALSE,139,FALSE,252,0,6148182,FALSE,583,1030,159,high,2.201397124
29,36,FALSE,unreviewed,0,FALSE,2503,1124,FALSE,FALSE,TRUE,30,TRUE,43,0,140356,FALSE,6,2150,0,low,0
20,21,FALSE,accepted,0,FALSE,21495,34478,FALSE,FALSE,TRUE,94,TRUE,247,0,2330119,FALSE,168,401,25,high,1.397940009
16,17,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,46,TRUE,79,0,590497,FALSE,90,1905,9,low,0.954242509
33,34,FALSE,accepted,0,TRUE,2503,1124,FALSE,FALSE,TRUE,61,TRUE,106,0,222423,FALSE,22,4870,9,low,0.954242509
21,33,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,69,FALSE,41,0,34642,FALSE,7,7369,1,low,0
18,21,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,25,FALSE,35,0,38870,FALSE,60,7089,0,low,0
94,104,FALSE,accepted,0,TRUE,2660,?,FALSE,FALSE,FALSE,14,FALSE,294,0,2015929,FALSE,338,8020,9,low,0.954242509
1,12,FALSE,unreviewed,0,FALSE,419,?,FALSE,FALSE,FALSE,80,FALSE,8,0,41280,FALSE,2,10877,2,low,0.301029996
17,20,FALSE,accepted,0,TRUE,17568,144243,FALSE,FALSE,TRUE,127,TRUE,152,1,1204637,FALSE,210,5733,67,high,1.826074803
21,26,FALSE,accepted,1,FALSE,419,?,FALSE,FALSE,FALSE,21,FALSE,27,0,24461,FALSE,1,9854,0,low,0
8,10,FALSE,accepted,1,FALSE,693,?,FALSE,FALSE,FALSE,52,FALSE,34,0,74409,FALSE,10,5353,12,high,1.079181246
12,13,FALSE,accepted,0,FALSE,17568,144243,FALSE,FALSE,TRUE,191,TRUE,229,0,2590584,FALSE,402,156,100,high,2
38,41,FALSE,accepted,2,FALSE,2660,?,FALSE,FALSE,FALSE,75,FALSE,93,0,243794,FALSE,37,5654,11,high,1.041392685
11,20,FALSE,unreviewed,1,FALSE,598,?,FALSE,FALSE,FALSE,8,FALSE,36,0,29021,FALSE,51,7089,0,low,0
23,24,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,73,TRUE,382,0,3709414,FALSE,1885,1162,105,high,2.021189299
30,31,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,20,TRUE,82,0,140642,FALSE,18,4646,22,high,1.342422681
23,24,FALSE,accepted,0,FALSE,10964,?,FALSE,FALSE,FALSE,158,FALSE,398,0,4498975,FALSE,1263,1026,165,high,2.217483944
22,24,FALSE,accepted,0,FALSE,21495,34478,FALSE,FALSE,TRUE,37,TRUE,366,1,2267806,FALSE,211,401,63,high,1.799340549
43,48,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,74,TRUE,90,0,284677,FALSE,40,1986,10,low,1
66,69,FALSE,accepted,0,FALSE,10964,?,FALSE,FALSE,FALSE,91,FALSE,306,2,2875478,FALSE,342,1699,24,high,1.380211242
10,11,FALSE,accepted,2,TRUE,10964,?,FALSE,FALSE,FALSE,160,FALSE,237,0,5521909,FALSE,201,775,32,high,1.505149978
16,22,FALSE,accepted,0,FALSE,419,?,FALSE,FALSE,FALSE,42,FALSE,40,0,89259,FALSE,12,10141,4,low,0.602059991
13,14,FALSE,accepted,0,FALSE,10964,?,FALSE,FALSE,FALSE,49,FALSE,93,0,2256798,FALSE,1395,1111,135,high,2.130333768
19,21,FALSE,accepted,0,FALSE,598,?,FALSE,FALSE,FALSE,61,FALSE,28,0,154723,FALSE,78,6725,2,low,0.301029996
24,28,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,136,FALSE,32,0,50538,FALSE,57,7306,1,low,0
17,18,FALSE,accepted,0,TRUE,2503,1124,FALSE,FALSE,TRUE,185,TRUE,118,0,802089,FALSE,611,1460,38,high,1.579783597
24,33,FALSE,accepted,0,FALSE,419,?,FALSE,FALSE,FALSE,82,FALSE,22,0,40285,FALSE,2,9854,5,low,0.698970004
2,9,FALSE,unreviewed,2,FALSE,38,?,FALSE,FALSE,FALSE,43,FALSE,39,0,282527,FALSE,50,1174,2,low,0.301029996
